tmdb_id,season_number,episode_number,name,provider,video_link,subtitle_link,quality
1399,1,1,Winter Is Coming,mixdrop,https://mxdrop.to/e/jdjwxzr3sd84lq,https://mxdrop.to/f/8loknlges7wnjo,720p
1399,1,2,The Kingsroad,mixdrop,https://mxdrop.to/e/03mg19mphe8rm3,https://mxdrop.to/f/z1g4w149cg8xlkg,720p
1399,1,3,Lord Snow,mixdrop,https://mxdrop.to/e/xwg4kleetnl4gj,https://mxdrop.to/f/4dp6qd1gbq4xmde,720p
1399,1,4,Cripples; Bastards; and Broken Things,mixdrop,https://mxdrop.to/e/xwg4kqz0ip3d1k,https://mxdrop.to/f/vkp40koxfjd46l,720p
1399,1,5,The Wolf and the Lion,mixdrop,https://mxdrop.to/e/03mg19pms6q0zl,https://mxdrop.to/f/4dp6qd6ktqkwxgm,720p
1399,1,6,A Golden Crown,mixdrop,https://mxdrop.to/e/vkp40zwwu77x9r,https://mxdrop.to/f/xwg4kwdxbzox9k,720p
1399,1,7,You Win or You Die,mixdrop,https://mxdrop.to/e/r6k8rpd7tp1pqn,https://mxdrop.to/f/8loknlkobgge1l,720p
1399,1,8,The Pointy End,mixdrop,https://mxdrop.to/e/l781mnexaqd1ek4,https://mxdrop.to/f/k0lqz0qlswo6gp,720p
1399,1,9,Baelor,mixdrop,https://mxdrop.to/e/q1m3nvdki19nj3,https://mxdrop.to/f/1np3xn3mfpg6z6,720p
1399,1,10,Fire and Blood,mixdrop,https://mxdrop.to/e/7kq7v9p7fgrjxx,https://mxdrop.to/f/l781m71wfw6pgg,720p
1399,2,1,The North Remembers,mixdrop,https://mxdrop.to/e/elxdk664an0lm,https://mxdrop.to/f/03mg13gji6x6x1,720p
1399,2,2,The Night Lands,mixdrop,https://mxdrop.to/e/k0lqzw3puxkke4,https://mxdrop.to/f/8loknlk0bxv1e8,720p
1399,2,3,What is Dead May Never Die,mixdrop,https://mxdrop.to/e/vkp407nxupxz47,https://mxdrop.to/f/q1m3n13vuqgjor,720p
1399,2,4,Garden of Bones,mixdrop,https://mxdrop.to/e/67o08p7gfle3lwd,https://mxdrop.to/f/q1m3n13lfvxrn4,720p
1399,2,5,The Ghost of Harrenhal,mixdrop,https://mxdrop.to/e/l781mn69bqgplpn,https://mxdrop.to/f/k0lqz0qwa1x4wr,720p
1399,2,6,The Old Gods and the New,mixdrop,https://mxdrop.to/e/wlp47kekt0zdlp,https://mxdrop.to/f/l781m71gtd4qr0,720p
1399,2,7,A Man Without Honor,mixdrop,https://mxdrop.to/e/k0lqzw3jcwjxo6,https://mxdrop.to/f/vkp40k43tpq9n4,720p
1399,2,8,The Prince of Winterfell,mixdrop,https://mxdrop.to/e/wlp47k8eb031o18,https://mxdrop.to/f/364vm6v6hmkpkwj,720p
1399,2,9,Blackwater,mixdrop,https://mxdrop.to/e/k0lqzwr6c3d4onr,https://mxdrop.to/f/pjpgvjgqbne8kp,720p
1399,2,10,Valar Morghulis,mixdrop,https://mxdrop.to/e/owxm841rfrwz90,https://mxdrop.to/f/l781m71lcg0jvv,720p
1399,3,1,Valar Dohaeris,mixdrop,https://mxdrop.to/e/gjg7w0qjuxej7w,https://mxdrop.to/f/l781m71ohqvezx1,720p
1399,3,2,Dark Wings; Dark Words,mixdrop,https://mxdrop.to/e/owxm848vh6jppq,https://mxdrop.to/f/wlp47l47aeovgg,720p
1399,3,3,Walk of Punishment,mixdrop,https://mxdrop.to/e/9wklr1ldsn0dzq,https://mxdrop.to/f/elxdklddf6rvw8,720p
1399,3,4,And Now His Watch Is Ended,mixdrop,https://mxdrop.to/e/nlvzq17ra9vev6,https://mxdrop.to/f/wlp47l4gc0p3zew,720p
1399,3,5,Kissed by Fire,mixdrop,https://mxdrop.to/e/dkj673pwfwe46,https://mxdrop.to/f/67o0870kirkxeq,720p
1399,3,6,The Climb,mixdrop,https://mxdrop.to/e/8lokn1eec36z7x,https://mxdrop.to/f/gjg7wj7rhwm9m06,720p
1399,3,7,The Bear and the Maiden Fair,mixdrop,https://mxdrop.to/e/8lokn1mna6mj349,https://mxdrop.to/f/03mg13g7ag73o,720p
1399,3,8,Second Sons,mixdrop,https://mxdrop.to/e/67o08p1vsxxnzp,https://mxdrop.to/f/364vm6vli8gp1j,720p
1399,3,9,The Rains of Castamere,mixdrop,https://mxdrop.to/e/7kq7v9o1ie063o,https://mxdrop.to/f/l781m71xcjdjj,720p
1399,3,10,Mhysa,mixdrop,https://mxdrop.to/e/z1g4wp91ug81nko,https://mxdrop.to/f/9wklrwl9h3mvm7,720p
1399,4,1,Two Swords,mixdrop,https://mxdrop.to/e/jdjwx984t97l8x,https://mxdrop.to/f/nlvzql76f7o3m1,720p
1399,4,2,The Lion and the Rose,mixdrop,https://mxdrop.to/e/8lokn43jcq4eor,https://mxdrop.to/f/wlp47lgdh0p77zd,720p
1399,4,3,Breaker of Chains,mixdrop,https://mxdrop.to/e/4dp6qn71c08m7x,https://mxdrop.to/f/gjg7wj3ocogkgw,720p
1399,4,4,Oathkeeper,mixdrop,https://mxdrop.to/e/8lokn4qmfzl1pz,https://mxdrop.to/f/9wklrwd1c44kp6,720p
1399,4,5,First of His Name,mixdrop,https://mxdrop.to/e/owxm87x9sl67znp,https://mxdrop.to/f/wlp47lgpcdew0l,720p
1399,4,6,The Laws of Gods and Men,mixdrop,https://mxdrop.to/e/r6k8rw9nu09xlj,https://mxdrop.to/f/nlvzql7xigx13k,720p
1399,4,7,Mockingbird,mixdrop,https://mxdrop.to/e/r6k8rw0gf48qkr,https://mxdrop.to/f/gjg7wj3dh1mozk,720p
1399,4,8,The Mountain and the Viper,mixdrop,https://mxdrop.to/e/364vmnpwfr3ed8,https://mxdrop.to/f/owxm8wknsd4gv0,720p
1399,4,9,The Watchers on the Wall,mixdrop,https://mxdrop.to/e/nlvzq01ou339k6,https://mxdrop.to/f/r6k8r6jwsnxgxe,720p
